text,label,source,ai_assisted
"Дорогой пользователь! Мы обновили политику конфиденциальности нашего сервиса. Пожалуйста, ознакомьтесь с новыми условиями по ссылке.",0,ai,1
"Привет! Ты не забыл про завтрашний созвон? Скинь мне контакты, я потерял.",0,human,0
"Добрый день! Направляю вам коммерческое предложение по сотрудничеству. Если заинтересует — свяжитесь со мной по указанным контактам.",0,human,0
"Срочно! Ваша посылка задержана на таможне. Оплатите сбор в размере 500 рублей по ссылке, иначе посылка будет возвращена отправителю.",1,ai,1
"Здравствуйте! Хотите получить кредит на выгодных условиях? Одобрение за 5 минут, без справок и поручителей. Оставьте заявку на нашем сайте.",1,human,0
"Ваш аккаунт в социальной сети был взломан! Срочно перейдите по ссылке для восстановления доступа.",1,human,0
"Уважаемый клиент! Мы предлагаем вам уникальную возможность инвестировать в перспективный проект с гарантированной доходностью 500% годовых. Не упустите шанс!",1,ai,1
"Здравствуйте! Ваш заказ готов к выдаче. Пожалуйста, приходите в пункт выдачи с паспортом.",0,human,0
"Поздравляем! Вы стали нашим 1000-м клиентом и получаете приз — iPhone 15 Pro! Для получения перейдите по ссылке.",1,ai,1
"Дорогой пользователь, ваш платёж был отклонён банком. Пожалуйста, обновите платёжные данные, чтобы продолжить использование сервиса.",1,ai,1
"Привет, это мама. Позвони мне, когда сможешь.",0,human,0
"Здравствуйте! Напоминаем, что завтра в 14:00 у вас назначен приём у стоматолога. Подтвердите, пожалуйста, запись.",0,human,0
"Уважаемый клиент! Ваша карта была временно заблокирована в целях безопасности. Для разблокировки позвоните по номеру, указанному ниже.",1,ai,1
"Добрый день! Хотим предложить вам уникальную скидку 70% на все товары нашего магазина. Акция действует только сегодня!",1,human,0
"Здравствуйте! Я представляю компанию X и хотел бы обсудить возможность сотрудничества. Прилагаю презентацию во вложении.",0,human,0
"Срочно свяжитесь с нами! Ваш выигрыш в размере 50 000 рублей ожидает вас. Для получения необходимо оплатить комиссию.",1,human,0
"Уважаемый пользователь! Мы заметили, что вы давно не пользовались нашим сервисом. Возвращайтесь и получите 3 месяца бесплатно!",0,ai,1
"Здравствуйте! Ваш профиль был выбран для участия в опросе. Уделите 5 минут, и мы начислим вам бонусы.",0,human,0
"Дорогой друг! Ты не поверишь, но я нашёл способ заработать миллион за неделю! Пиши в личку, расскажу как.",1,human,0
"Уважаемый клиент, ваш билет на рейс SU-1234 подтверждён. Регистрация открывается за 24 часа до вылета.",0,human,0
"Здравствуйте! Вам одобрен кредит на сумму 1 000 000 рублей. Для получения перейдите по ссылке и заполните заявку.",1,ai,1
"Здравствуйте! Меня зовут Анна, я менеджер компании Y. Хотела бы обсудить с вами условия поставки товара.",0,human,0
"СРОЧНО! Ваш номер был выбран в розыгрыше автомобиля! Оплатите 15 000 рублей за оформление и получите ключи!",1,human,0
"Уважаемый коллега, направляю вам протокол совещания от 20 числа. Ознакомьтесь, пожалуйста, и внесите свои замечания.",0,human,0
"Здравствуйте! Специально для вас мы подготовили персональное предложение. Ознакомьтесь с ним в личном кабинете.",0,ai,1
"Дорогой клиент, у нас для вас отличные новости! Мы запустили новую программу лояльности с бонусами до 50%.",0,ai,1
"Здравствуйте! Ваш заказ на сумму 5 000 рублей был успешно оформлен. Ожидайте звонка нашего менеджера.",0,human,0
"Привет! Скинь, пожалуйста, отчёт за прошлый месяц, я не могу найти его в почте.",0,human,0
"Уважаемый пользователь! Ваш пароль был изменён. Если это были не вы, немедленно свяжитесь с нами.",1,ai,1
"Здравствуйте! Хотите получать до 30% кэшбэка с каждой покупки? Оформите нашу карту прямо сейчас!",1,human,0
"Дорогой друг! Я нашёл клад и хочу поделиться с тобой. Отправь мне 10 000 рублей для оформления документов.",1,human,0
"Здравствуйте! Подтверждаем вашу запись на курс английского языка. Занятия начинаются 1 сентября.",0,human,0
"Уважаемый клиент! Ваш аккаунт будет удалён через 24 часа в связи с неактивностью. Войдите в систему, чтобы сохранить данные.",1,ai,1
